Company Name,Octoparse Setup,Program Name,Annual Maximum,Amount,Eligible Programs,Pre Pay or Reimburse,Full / Part Time,Prerequisite time,Ryan's Notes,Program Link
Amazon,Done,Career Choice Program,No limit,100%,"High School Completion, GED, ESL, Bachelors Degrees, Associate Degress, and Certifications from pre approved schools",Pre Pay,Full and Part,90 days for hourly employees,,https://careerchoice.amazon/
Apple,Done,Education Reimbursement program,"$5,250",100%,Courses or degrees directly related to your current job or another job at Apple and must get a B or higher in the class,Reimbursement,Full,6 months,Very little info on website,https://www.apple.com/careers/us/benefits.html
AT&T,Done,Tuition Assistance Plan,"$5,250 / year for full time, $3937.50 for 20 - 39 hour employees, $2,625 for less than 20 hour employees",100%,Courses and degree programs aligned to your current job including nanodegree programs on Udacity,Reimbursement,Full and Part,6 months,"They don't have any details on their website, but have a comprehensive overview in an HR Policy resource",https://www.cwa3207.org/forms/ATT%20TAP.pdf
Bank of America Financial Center,Not Done,Tuition Assistance & Academic Support Program,"$7,500",100%,Certain academic and professional certifications including undergraduate and graduate courses,Pre-pay voucher,Not Stated,Not Stated,,https://www.bankofamerica.com/content/documents/employees/launches_and_enhancements.pdf
Best Buy,Done,Employee Tuition Assistance Program,"$3,500 / year for undergrad tuition and $5,250 for graduate proograms",100%,,Reimbursement,Full,6 months,,
Blue Shield of California,Not Done,Tuition Reimbursement,"$5,250",100%,"undergraduate, graduate, professional development, or certificate programs",Reimbursement,Not Stated,Not Stated,,"https://careers.blueshieldca.com/total-rewards#:~:text=The%20Tuition%20Reimbursement%20Program%20is,professional%20development%2C%20or%20certificate%20programs."
Boeing,Done,Learning Together Program,"$25,000 / year",100%,Graduate only,Pre Pay,Full,From start of work,,https://www.boeingbenefits.com/employee/emp-learning-together-program.html
BP,Not Done,Education Assistant Program,Not stated,90%,Tuition and vocational courses related to your job from approved institutions,Not stated,Not Stated,Not Stated,"No website, I was reading through comments on glassdor trying to piece together what's offered",
Capital One,Done,Educaitonal Assistance,"$5,250",100%,Undergraduate or graduate (must have C or higher for associates and B or higher for undergraduate),Reimbursement,Full and Part,From start of work,,"https://mybewellbenefits.com/Life/Educational-Assistance#:~:text=For%20eligible%20full%2Dtime%20and,and%20eligible%20course%2Dspecific%20fees."
Carmax,Done,Tuition Assistant Program,"$2,500 for full time and $1,500 for part time",$800 / class,Any courses from an accredited university,Reimbursement,Full and Part,Not Stated,"No website details other than a bullet point on benefits that says Tuition Assistance, I was just using a blog post about it",https://scholarships360.org/financial-aid/carmax-tuition-reimbursement/
